
=== FWER 검증 (n_trials=500, α=0.05) ===

# Round 7 Table 2 — Multi-Trigger Combination FWER

- n_trials=500, n_cal=200, target α=0.05

| Method | Dependence | Empirical FWER | OK (≤α+0.02)? |
| --- | --- | --- | --- |
| v1: len(triggers) > 0 (naive OR) | independent | 0.104 | ✗ |
| v2: bonferroni | independent | 0.046 | ✓ |
| v2: harmonic | independent | 0.022 | ✓ |
| v2: e_value | independent | 0.05 | ✓ |
| v1: len(triggers) > 0 (naive OR) | correlated | 0.132 | ✗ |
| v2: bonferroni | correlated | 0.072 | ✗ |
| v2: harmonic | correlated | 0.042 | ✓ |
| v2: e_value | correlated | 0.08 | ✗ |

✅ saved: /Users/idaun/PoC/UASEF/results/round7/table2_fwer.{json,md}
